# gosec in-CI diff-gate signature baseline: pinned gosec@v2.29.0.
# One signature per line:  rule_id <TAB> repo-relative-file <TAB> normalized-code-snippet
# (line/column deliberately excluded; snippet line-number prefixes stripped).
# Regenerate after intentionally accepting a finding:  scripts/gosec-diff-gate.sh --update
G101	pkg/plaud/config.go	// bare-argv form, which leaks the secret to ps/argv. const PlaudTokenEnvVar = "M3C_PLAUD_TOKEN"
G104	pkg/skillctl/menubar/skillbar.go	if err := report.GenerateHTML(tmpFile, inv); err != nil { tmpFile.Close() //nolint:errcheck // best-effort close on error path before removing the temp file os.Remove(tmpFile.Name()) //nolint:errcheck // best-effort removal of the temp report file on error path
G104	pkg/skillctl/menubar/skillbar.go	if srv != nil { srv.Close() //nolint:errcheck // best-effort close of the review HTTP server on shutdown }
G104	pkg/skillctl/menubar/skillbar.go	tmpFile.Close() //nolint:errcheck // best-effort close on error path before removing the temp file os.Remove(tmpFile.Name()) //nolint:errcheck // best-effort removal of the temp report file on error path log.Printf("[skillbar] generate HTML: %v", err)
G104	pkg/skillctl/menubar/skillbar.go	} tmpFile.Close() //nolint:errcheck // best-effort close of an ephemeral temp report file opened only for browser display
G104	pkg/skillctl/review/server.go	w.Header().Set("Content-Type", "application/json") json.NewEncoder(w).Encode(buildDeltaJSON(d)) //nolint:errcheck // best-effort JSON write to an HTTP response (client may have disconnected) }
G104	pkg/skillctl/review/server.go	w.Header().Set("Content-Type", "application/json") json.NewEncoder(w).Encode(entry) //nolint:errcheck // best-effort JSON write to an HTTP response (client may have disconnected) }
G104	pkg/skillctl/review/server.go	w.Header().Set("Content-Type", "application/json") json.NewEncoder(w).Encode(resp) //nolint:errcheck // best-effort JSON write to an HTTP response (client may have disconnected) }
G104	pkg/skillctl/review/server.go	w.Header().Set("Content-Type", "application/json") json.NewEncoder(w).Encode(seals) //nolint:errcheck // best-effort JSON write to an HTTP response (client may have disconnected) }
G104	pkg/skillctl/review/server.go	w.Header().Set("Content-Type", "application/json") w.Write([]byte("[]")) //nolint:errcheck // best-effort write to an HTTP response (client may have disconnected) return
G104	pkg/skillctl/review/server.go	w.Header().Set("Content-Type", "application/json") w.Write([]byte(`{"status":"ok","service":"skillctl-review"}`)) //nolint:errcheck // best-effort write to an HTTP response (client may have disconnected) }
G104	pkg/skillctl/review/server.go	w.Header().Set("Content-Type", "text/html; charset=utf-8") w.Write(injectToken(uiHTML, s.token)) //nolint:errcheck // best-effort write to an HTTP response (client may have disconnected) }
G104	pkg/skillctl/review/server.go	} cmd.Start() //nolint:errcheck // fire-and-forget UI action: open the review UI in a browser }
G104	pkg/timetracking/gantt.go	h := fnv.New32a() h.Write([]byte(projectID)) c := palette[h.Sum32()%uint32(len(palette))]
G104	pkg/timetracking/plmclient.go	defer resp.Body.Close() io.Copy(io.Discard, io.LimitReader(resp.Body, 1<<20)) //nolint:errcheck // draining the response body for connection reuse; the data is discarded
G104	pkg/timetracking/store.go	// Add tags column (safe to call multiple times: ignore "duplicate column" error). s.db.Exec("ALTER TABLE projects ADD COLUMN tags TEXT DEFAULT ''") //nolint:errcheck // idempotent migration; a "duplicate column" error on re-run is expected and intentionally ignored
G104	pkg/timetracking/store.go	if err := s.migrate(); err != nil { db.Close() //nolint:errcheck // best-effort close of the just-opened DB on this error path return nil, fmt.Errorf("migrate: %w", err)
G112	cmd/m3c-tools/main.go	srv := &http.Server{ Addr: addr, Handler: mux, } go func() {
G112	pkg/config/editor.go	} srv := &http.Server{Handler: s.GuardedHandler()} return srv.Serve(ln)
G112	pkg/skillctl/browse/server.go	} httpSrv := &http.Server{Handler: s.GuardedHandler()} return httpSrv.Serve(ln)
G112	pkg/skillctl/menubar/skillbar.go	srv = &http.Server{Handler: mux}
G112	pkg/skillctl/review/server.go	} httpSrv := &http.Server{Handler: s.GuardedHandler()} return httpSrv.Serve(ln)
G115	cmd/poc-recorder/main.go	dataSize := uint32(len(samples) * 2) // 2 bytes per int16 fileSize := 36 + dataSize
G115	cmd/skillctl/propose_cmds.go	byte(now >> 40), byte(now >> 32), byte(now >> 24), byte(now >> 16), byte(now >> 8), byte(now), }))
G115	cmd/skillctl/propose_cmds.go	tsHex := strings.ToUpper(hex.EncodeToString([]byte{ byte(now >> 40), byte(now >> 32), byte(now >> 24), byte(now >> 16), byte(now >> 8), byte(now),
G115	internal/thinking/er1/client.go	for i := 0; i < n; i++ { buf[i] = byte(ts >> (i % 8)) }
G115	pkg/er1/audio.go	buf.WriteByte(byte(v >> 8)) buf.WriteByte(byte(v >> 16)) buf.WriteByte(byte(v >> 24))
G115	pkg/er1/audio.go	buf.WriteByte(byte(v)) buf.WriteByte(byte(v >> 8)) buf.WriteByte(byte(v >> 16))
G115	pkg/er1/audio.go	buf.WriteString("RIFF") writeLE32(&buf, uint32(36+dataSize)) buf.WriteString("WAVE")
G115	pkg/er1/audio.go	buf.WriteString("data") writeLE32(&buf, uint32(dataSize)) buf.Write(make([]byte, dataSize))
G115	pkg/er1/audio.go	func writeLE16(buf *bytes.Buffer, v uint16) { buf.WriteByte(byte(v)) buf.WriteByte(byte(v >> 8))
G115	pkg/er1/audio.go	func writeLE32(buf *bytes.Buffer, v uint32) { buf.WriteByte(byte(v)) buf.WriteByte(byte(v >> 8))
G115	pkg/plaud/auth.go	} else { frame = append(frame, 126|0x80, byte(l>>8), byte(l)) }
G115	pkg/recorder/wav.go	for _, s := range samples { buf = appendLE16(buf, uint16(s)) }
G115	pkg/recorder/wav.go	for i := 0; i < n; i++ { samples[i] = int16(binary.LittleEndian.Uint16(data[i*2 : i*2+2])) }
G115	pkg/recorder/wav.go	func EncodeWAV(samples []int16) []byte { dataSize := uint32(len(samples) * 2) fileSize := 36 + dataSize
G115	pkg/skillctl/bodyscan/normalize.go	if v, good := parseHex(s[2:4]); good { return rune(v), 4, true }
G115	pkg/skillctl/bodyscan/normalize.go	if v, good := parseHex(s[2:6]); good { return rune(v), 6, true }
G115	pkg/timetracking/gantt.go	h.Write([]byte(projectID)) c := palette[h.Sum32()%uint32(len(palette))] return c[0], c[1], c[2]
G117	pkg/plaud/devapi.go	func saveDevTokenFile(path string, t DevTokenFile) error { data, err := json.MarshalIndent(t, "", " ") if err != nil {
G122	pkg/skillbundle/pack.go	data, readErr := os.ReadFile(path) if readErr != nil {
G124	pkg/transcript/fetcher.go	jar.SetCookies(ytURL, []*http.Cookie{ {Name: "CONSENT", Value: "YES+cb", Path: "/", Domain: ".youtube.com"}, })
G202	pkg/skillctl/browse/store.go	for _, table := range []string{"edges", "node_tags", "nodes", "graph_meta"} { if _, err := tx.Exec("DELETE FROM " + table); err != nil { return fmt.Errorf("clear %s: %w", table, err)
G203	pkg/skillctl/report/html.go	} return template.HTML(b.String()) }
G204	cmd/m3c-tools/main.go	case "linux": return exec.Command("xdg-open", url).Start() default: // darwin
G204	cmd/m3c-tools/main.go	case "windows": return exec.Command("rundll32", "url.dll,FileProtocolHandler", url).Start() case "linux":
G204	cmd/m3c-tools/main.go	default: // darwin if err := exec.Command("open", "-a", "Google Chrome", url).Start(); err == nil { return nil
G204	cmd/m3c-tools/main.go	stty := func(arg string) error { c := exec.Command("stty", arg) c.Stdin = os.Stdin
G204	cmd/m3c-tools/main.go	} cmd := exec.Command("bash", setupArgs...) cmd.Stdout = os.Stdout
G204	cmd/m3c-tools/main.go	} return exec.Command("open", url).Start() }
G204	cmd/poc-whisper/main.go	// Run whisper with JSON output format cmd := exec.Command(whisperPath, audioFile, "--model", model, "--output_format", "json", "--output_dir", tmpDir, ) cmd.Stdout = os.Stdout
G204	cmd/skillctl-demo/main.go	case "darwin": cmd = exec.Command("open", url) case "windows":
G204	cmd/skillctl-demo/main.go	case "windows": cmd = exec.Command("rundll32", "url.dll,FileProtocolHandler", url) default:
G204	cmd/skillctl-demo/main.go	default: cmd = exec.Command("xdg-open", url) }
G204	cmd/skillctl-demo/runner.go	cmd := exec.CommandContext(ctx, r.Skillctl, args...) cmd.Env = r.env()
G204	pkg/config/editor.go	case "darwin": cmd = exec.Command("open", url) case "linux":
G204	pkg/config/editor.go	case "linux": cmd = exec.Command("xdg-open", url) case "windows":
G204	pkg/config/editor.go	case "windows": cmd = exec.Command("rundll32", "url.dll,FileProtocolHandler", url) default:
G204	pkg/er1/config.go	for _, q := range queries { out, err := exec.CommandContext(ctx, "/usr/bin/security", q...).Output() if err != nil {
G204	pkg/er1login/login.go	} return exec.Command(name, args...).Start() }
G204	pkg/menubar/app.go	Clicked: func() { _ = exec.Command("open", "-a", "Google Chrome", profURL).Start() },
G204	pkg/menubar/app.go	Clicked: func() { _ = exec.Command("open", docURL).Start() },
G204	pkg/menubar/app.go	Clicked: func() { exec.Command("open", a.Config.LogPath).Run() //nolint:errcheck // fire-and-forget UI action: open the log file in the default app a.fireAction(ActionOpenLog, a.Config.LogPath)
G204	pkg/menubar/app.go	home, _ := os.UserHomeDir() _ = exec.Command("open", filepath.Join(home, ".m3c-tools", "profiles")).Start() }
G204	pkg/menubar/app.go	url := baseURL + "/v2/my-personal-assistant" _ = exec.Command("open", url).Start() },
G204	pkg/plaud/auth.go	case "darwin": return exec.Command("open", url).Start() case "windows":
G204	pkg/plaud/auth.go	case "linux": return exec.Command("xdg-open", url).Start() default:
G204	pkg/plaud/auth.go	case "windows": return exec.Command("rundll32", "url.dll,FileProtocolHandler", url).Start() case "linux":
G204	pkg/plaud/auth.go	cmd := exec.Command(chromePath, "--remote-debugging-port=9222", "--user-data-dir="+debugDir, "https://app.plaud.ai", ) if err := cmd.Start(); err != nil {
G204	pkg/plaud/auth.go	defer os.RemoveAll(debugDir) // Clean up debug profile after use (contains cookies, localStorage) cmd := exec.Command(chromePath, "--remote-debugging-port=9222", "--user-data-dir="+debugDir, "https://app.plaud.ai", ) if err := cmd.Start(); err != nil {
G204	pkg/pocket/merger.go	cmd := exec.Command(ffmpeg, "-f", "concat", "-safe", "0", "-i", listPath, "-c", "copy", "-y", outputPath, ) cmd.Stderr = os.Stderr
G204	pkg/screenshot/capture.go	func (e *execCommander) Run(name string, args ...string) ([]byte, error) { cmd := exec.Command(name, args...) return cmd.CombinedOutput()
G204	pkg/session/session.go	func gitOut(dir string, args ...string) string { cmd := exec.Command("git", args...) if dir != "" {
G204	pkg/skillctl/artifactauth/creds.go	} out, err := exec.Command("/usr/bin/security", "find-generic-password", "-s", service, "-a", account, "-w").Output() if err != nil {
G204	pkg/skillctl/backend/git/git.go	} cmd := exec.Command(gitBin, args...) if dir != "" {
G204	pkg/skillctl/backend/git/local.go	// `git init --bare` is safe to re-run on an existing bare repo (idempotent). out, err := exec.Command("git", "-c", "init.defaultBranch=main", "init", "--bare", path).CombinedOutput() if err != nil {
G204	pkg/skillctl/backend/git/local.go	} out, err := exec.Command("git", "-C", path, "bundle", "create", outPath, "--all").CombinedOutput() if err != nil {
G204	pkg/skillctl/browse/server.go	case "darwin": cmd = exec.Command("open", url) case "linux":
G204	pkg/skillctl/browse/server.go	case "linux": cmd = exec.Command("xdg-open", url) case "windows":
G204	pkg/skillctl/browse/server.go	case "windows": cmd = exec.Command("rundll32", "url.dll,FileProtocolHandler", url) default:
G204	pkg/skillctl/menubar/skillbar.go	// Open in default browser. if err := exec.Command("open", tmpFile.Name()).Start(); err != nil { log.Printf("[skillbar] open browser: %v", err)
G204	pkg/skillctl/menubar/skillbar.go	url := fmt.Sprintf("http://%s", addr) if err := exec.Command("open", url).Start(); err != nil { log.Printf("[skillbar] open browser: %v", err)
G204	pkg/skillctl/review/server.go	case "darwin": cmd = exec.Command("open", url) case "linux":
G204	pkg/skillctl/review/server.go	case "linux": cmd = exec.Command("xdg-open", url) case "windows":
G204	pkg/skillctl/review/server.go	case "windows": cmd = exec.Command("rundll32", "url.dll,FileProtocolHandler", url) default:
G204	pkg/whisper/whisper.go	cmd := exec.CommandContext(ctx, whisperPath, args...)
G301	cmd/skillctl-demo/kata_progress.go	func (s *KataStore) saveLocked() error { if err := os.MkdirAll(filepath.Dir(s.Path), 0o755); err != nil { return err
G301	cmd/skillctl-demo/kata_sandbox.go	dir := filepath.Join(sb.Base, "kata", "revoke", nonce) if err := os.MkdirAll(dir, 0o755); err != nil { return "", err
G301	cmd/skillctl-demo/kata_sandbox.go	dir := filepath.Join(sb.Base, "kata", "seal", nonce) if err := os.MkdirAll(dir, 0o755); err != nil { return "", "", err
G301	cmd/skillctl-demo/sandbox.go	_ = os.RemoveAll(filepath.Join(sb.Home, ".claude", "skillctl", "quarantine")) return os.MkdirAll(d, 0o755) }
G301	cmd/skillctl-demo/sandbox.go	dir := filepath.Join(sb.skillsDir(), name) if err := os.MkdirAll(dir, 0o755); err != nil { return err
G301	cmd/skillctl-demo/sandbox.go	func (sb *Sandbox) build() error { if err := os.MkdirAll(filepath.Join(sb.Home, ".claude", "skills"), 0o755); err != nil { return err
G301	cmd/skillctl-demo/sandbox.go	if d.IsDir() { return os.MkdirAll(target, 0o755) }
G301	cmd/skillctl-demo/sandbox.go	s1 := filepath.Join(sb.Base, "s1") if err := os.MkdirAll(filepath.Join(s1, "poisoned"), 0o755); err != nil { return err
G301	cmd/skillctl-demo/sandbox.go	skb := filepath.Join(sb.Base, "install", name+".skb") if err := os.MkdirAll(filepath.Dir(skb), 0o755); err != nil { return err
G301	cmd/skillctl-demo/sandbox.go	} if err := os.MkdirAll(filepath.Dir(dst), 0o755); err != nil { return err
G301	cmd/skillctl-demo/sandbox.go	} if err := os.MkdirAll(filepath.Dir(target), 0o755); err != nil { return err
G301	cmd/skillctl/export_kit_cmds.go	// scrub failure never leaves a half-written kit. if err := os.MkdirAll(*outDir, 0o755); err != nil { fmt.Fprintf(stderr, "export-verification-kit: mkdir %s: %v\\n", *outDir, err)
G301	cmd/skillctl/pin_cmds.go	} if err := os.MkdirAll(filepath.Dir(target), 0o755); err != nil { fmt.Fprintf(stderr, "skillctl pin install: mkdir %s: %v\\n", filepath.Dir(target), err)
G301	cmd/skillctl/verify_all_cmds.go	qbase := filepath.Join(home, ".claude", "skillctl", "quarantine") if err := os.MkdirAll(qbase, 0o755); err != nil { return "", err
G301	cmd/thinking-engine/main.go	dir := filepath.Join(home, ".m3c-tools", "thinking", hash.Hex()) _ = os.MkdirAll(dir, 0o755) dbPath = filepath.Join(dir, "state.db")
G301	pkg/draft/draft.go	if err := os.MkdirAll(dir, 0o755); err != nil { return "", fmt.Errorf("draft: create dir %s: %w", dir, err)
G301	pkg/importer/import.go	// Create the destination base directory if it doesn't exist. if err := os.MkdirAll(destDir, 0755); err != nil { return nil, fmt.Errorf("create dest dir %s: %w", destDir, err)
G301	pkg/importer/import.go	_ = srcDir // validated above if err := os.MkdirAll(destDir, 0755); err != nil { return nil, fmt.Errorf("create dest dir %s: %w", destDir, err)
G301	pkg/importer/import.go	if err := os.MkdirAll(memoryPath, 0755); err != nil { return nil, fmt.Errorf("create memory folder: %w", err)
G301	pkg/importer/tracker.go	dir := filepath.Dir(t.path) if err := os.MkdirAll(dir, 0755); err != nil { return fmt.Errorf("create tracker dir: %w", err)
G301	pkg/pocket/config.go	for _, dir := range []string{c.StagingDir, c.RawDir, c.MergedDir} { if err := os.MkdirAll(dir, 0755); err != nil { return err
G301	pkg/pocket/merger.go	if err := os.MkdirAll(outputDir, 0755); err != nil { return "", fmt.Errorf("creating output dir: %w", err)
G301	pkg/pocket/staging.go	destDir := filepath.Join(cfg.RawDir, rec.Date) if err := os.MkdirAll(destDir, 0755); err != nil { return fmt.Errorf("creating raw dir %s: %w", destDir, err)
G301	pkg/screenshot/capture.go	} if err := os.MkdirAll(dir, 0o755); err != nil { return "", fmt.Errorf("create output dir: %w", err)
G301	pkg/screenshot/clipboard.go	// Ensure parent directory exists. if err := os.MkdirAll(filepath.Dir(outPath), 0o755); err != nil { return "", fmt.Errorf("create output dir: %w", err)
G301	pkg/skillbundle/unpack.go	if e.IsDir { if err := os.MkdirAll(full, 0o755); err != nil { return fmt.Errorf("skillbundle: mkdir %s: %w", full, err)
G301	pkg/skillbundle/unpack.go	} if err := os.MkdirAll(filepath.Dir(full), 0o755); err != nil { return fmt.Errorf("skillbundle: mkdir parent %s: %w", full, err)
G301	pkg/skillctl/backend/git/git.go	p := filepath.Join(dir, rel) if err := os.MkdirAll(filepath.Dir(p), 0o755); err != nil { return err
G301	pkg/skillctl/install/install.go	// Make sure the parent of `target` exists. if err := os.MkdirAll(filepath.Dir(target), 0o755); err != nil { return "", fmt.Errorf("install: mkdir target parent: %w", err)
G301	pkg/skillctl/install/install.go	archDir := filepath.Join(homeDir, installRoot, ".archive") if err := os.MkdirAll(archDir, 0o755); err != nil { return "", fmt.Errorf("install: mkdir archive dir: %w", err)
